#z_dep	log10E	z_inj	T_Elec	T_Phot
11.91840	3.69897	11.91840	0.00268	0.00067
11.91840	3.69897	13.01150	0.00048	0.00163
11.91840	3.69897	14.20490	0.00046	0.00196
11.91840	3.69897	15.50770	0.00043	0.00235
11.91840	3.69897	16.93000	0.00039	0.00277
11.91840	3.69897	18.48280	0.00037	0.00333
11.91840	3.69897	20.17790	0.00034	0.00394
11.91840	3.69897	22.02860	0.00031	0.00460
11.91840	3.69897	24.04890	0.00028	0.00522
11.91840	3.69897	26.25460	0.00025	0.00590
11.91840	3.69897	28.66250	0.00023	0.00638
11.91840	3.69897	31.29130	0.00020	0.00659
11.91840	3.69897	34.16130	0.00018	0.00638
11.91840	3.69897	37.29440	0.00016	0.00591
11.91840	3.69897	40.71490	0.00014	0.00501
11.91840	3.69897	44.44910	0.00012	0.00390
11.91840	3.69897	48.52570	0.00010	0.00274
11.91840	3.69897	52.97630	0.00009	0.00178
11.91840	3.69897	57.83510	0.00008	0.00104
11.91840	3.69897	63.13940	0.00007	0.00054
11.91840	3.69897	68.93030	0.00005	0.00026
11.91840	3.69897	75.25230	0.00005	0.00011
11.91840	3.69897	82.15410	0.00004	0.00004
11.91840	3.69897	89.68890	0.00003	0.00001
11.91840	3.69897	97.91480	0.00003	0.00000
11.91840	3.69897	106.89500	0.00002	0.00000
11.91840	3.69897	116.69900	0.00002	0.00000
11.91840	3.69897	127.40200	0.00002	0.00000
11.91840	3.69897	139.08700	0.00001	0.00000
11.91840	3.69897	151.84400	0.00001	0.00000
11.91840	3.69897	165.77000	0.00001	0.00000
11.91840	3.69897	180.97400	0.00001	0.00000
11.91840	3.69897	197.57200	0.00001	0.00000
11.91840	3.69897	215.69200	0.00001	0.00000
11.91840	3.69897	235.47500	0.00002	0.00000
11.91840	3.69897	257.07100	0.00002	0.00000
11.91840	3.69897	280.64900	0.00003	0.00000
11.91840	3.69897	306.38900	0.00004	0.00000
11.91840	3.69897	334.48900	0.00004	0.00000
11.91840	3.69897	365.16700	0.00005	0.00000
11.91840	3.69897	398.65900	0.00005	0.00000
11.91840	3.69897	435.22200	0.00004	0.00000
11.91840	3.69897	475.13900	0.00003	0.00000
11.91840	3.69897	518.71700	0.00002	0.00000
